#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column int fEvent
#column int fEntry
#column string fPreProc
#column string fPostProc
#column int fTrackID
#column int fParentID
#column int fPDG
#column double fKinetic
#column double fEdep
#column double fX1
#column double fY1
#column double fZ1
#column double fX2
#column double fY2
#column double fZ2
#column int Copy
5493,1,Transportation,Transportation,2,0,22,4.44,0,2.11319,-95,200.617,2.33563,-105,199.103,3
5641,1,Transportation,Transportation,9,3,22,1.55622,0,97.1481,5,191.257,97.5768,4.92849,191.1,0
5739,1,Transportation,Transportation,2,0,22,1.25632,0,1.77139,95,199.686,1.83083,105,195.294,1
5905,1,Transportation,hadElastic,1,0,2112,8.92802,0.0910719,-95,-0.729807,193.574,-99.8015,-0.766693,192.491,2
5905,0,hadElastic,Transportation,1,0,2112,8.83697,0,-99.8015,-0.766693,192.491,-103.146,-0.0413923,191.1,2
6016,1,Transportation,Transportation,2,1,2112,3.94349,0,3.45398,95,194.717,3.21657,105,193.955,1
6071,1,Transportation,Transportation,1,0,2112,7.75395,0,2.86245,-95,192.272,3.01009,-99.8999,191.1,3
6083,1,Transportation,hadElastic,3,1,2112,1.64778,0,-0.485274,95,192.567,0.437135,97.7636,192.383,1
6083,0,hadElastic,Transportation,3,1,2112,1.35929,0,0.437135,97.7636,192.383,0.692864,98.0676,191.1,1
6083,0,NA,ionIoni,12,3,1000030070,0.288556,0.288556,0.437135,97.7636,192.383,0.437323,97.7645,192.384,1
6178,1,Transportation,Transportation,2,0,22,4.44,0,-95,0.194682,198.012,-105,0.215175,196.224,2
6179,1,Transportation,Transportation,1,0,2112,1.77529,0,3.89149,95,195.431,4.30112,105,193.372,1
6245,1,Transportation,Transportation,6,1,22,1.07807,0,4.49312,95,192.225,4.76622,97.5303,191.1,1
6264,1,Transportation,Transportation,1,0,2112,0.0298413,0,-100.397,5,200.322,-105,4.24345,198.967,2
6272,1,Transportation,hadElastic,1,0,2112,5.91919,0,95,-0.020755,193.586,103.86,-0.551024,192.21,0
6272,0,hadElastic,Transportation,1,0,2112,4.92768,0,103.86,-0.551024,192.21,104.643,-3.21523,191.1,0
6272,0,NA,ionIoni,16,1,1000030070,0.991733,0.991733,103.86,-0.551024,192.21,103.862,-0.549518,192.21,0
6357,1,Transportation,Transportation,2,0,22,4.44,0,2.90361,95,198.127,3.20925,105,196.35,1
6551,1,Transportation,Transportation,2,0,22,0.544467,0,4.31257,95,196.432,2.5705,105,198.099,1
6631,1,Transportation,Transportation,1,0,2112,0.612844,0,-2.4131,-95,192.477,-2.56061,-100.807,191.1,3
6654,1,Transportation,hadElastic,2,1,2112,0.247549,0.0450237,95,1.05286,194.634,98.1784,1.58939,192.476,0
6654,0,hadElastic,Transportation,2,1,2112,0.202538,0,98.1784,1.58939,192.476,105,2.59497,196.827,0
6727,1,Transportation,compt,2,0,22,4.44,0,-2.23435,-95,191.974,-2.26438,-96.2766,191.664,3
6727,0,compt,Transportation,2,0,22,0.710215,0,-2.26438,-96.2766,191.664,-3.12177,-96.5524,191.1,3
6727,0,NA,eIoni,3,2,11,3.72978,1.53121,-2.26438,-96.2766,191.664,-1.99406,-99.2944,191.198,3
6727,0,eIoni,eIoni,3,2,11,2.19858,0.815394,-1.99406,-99.2944,191.198,-2.44209,-101.354,191.13,3
6727,0,eIoni,Transportation,3,2,11,1.38319,0.00969414,-2.44209,-101.354,191.13,-2.45854,-101.37,191.1,3
6818,1,Transportation,Transportation,2,0,22,4.44,0,95,-2.36994,200.352,105,-2.61941,198.81,0
7038,1,Transportation,Transportation,1,0,2112,1.35341,0,-4.3115,95,199.099,-4.76535,105,197.426,1
7168,1,Transportation,Transportation,1,0,2112,8.19937,0,-95,3.84874,197.193,-105,4.25387,195.318,2
7309,1,Transportation,Transportation,6,1,22,1.25876,0,0.225131,-95,198.278,-0.9088,-105,197.692,3
7444,1,Transportation,Transportation,2,0,22,4.44,0,95,0.555667,195.778,105,0.614159,193.755,0
7475,1,Transportation,Transportation,3,1,2112,0.746789,0,-95,-2.71935,200.259,-105,-4.44596,198.329,2
7572,1,Transportation,compt,2,0,22,4.44,0,95,2.7964,195.677,103.843,3.05669,193.879,0
7572,0,compt,Transportation,2,0,22,0.873478,0,103.843,3.05669,193.879,104.895,5,193.099,0
7572,0,NA,Transportation,3,2,11,3.56652,0.386739,103.843,3.05669,193.879,105,2.88231,193.705,0
7617,1,Transportation,hadElastic,1,0,2112,0.10221,0.00342999,-0.125304,95,192.697,-0.130144,98.6697,191.835,1
7617,0,hadElastic,hadElastic,1,0,2112,0.0987813,0.00806237,-0.130144,98.6697,191.835,0.875694,99.7829,192.064,1
7617,0,hadElastic,Transportation,1,0,2112,0.0907209,0,0.875694,99.7829,192.064,1.31729,99.8709,191.1,1
7679,1,Transportation,Transportation,1,0,2112,1.68903,0,-97.2001,-5,191.424,-98.4788,-4.86395,191.1,2
7725,1,Transportation,hadElastic,1,0,2112,0.272328,0.0502219,0.33869,95,199.418,-1.59993,104.357,196.588,1
7725,0,hadElastic,Transportation,1,0,2112,0.222118,0,-1.59993,104.357,196.588,-3.05094,95,197.316,1
7865,1,Transportation,Transportation,1,0,2112,7.73752,0,95,3.79448,193.043,103.405,4.13018,191.1,0
7910,1,Transportation,Transportation,1,0,2112,3.03055,0,-4.19221,95,198.74,-2.33694,105,196.962,1
8004,1,Transportation,Transportation,1,0,2112,1.38186,0,95,-4.75537,200.542,95.8265,-5,199.946,0
8073,1,Transportation,compt,7,3,22,0.372498,0,-95,1.47174,199.257,-101.413,2.35116,196.956,2
8073,0,compt,Transportation,7,3,22,0.199631,0,-101.413,2.35116,196.956,-102.207,0.799585,201.1,2
8073,0,NA,eIoni,10,7,11,0.172867,0.172867,-101.413,2.35116,196.956,-101.468,2.37203,196.901,2
8195,1,Transportation,Transportation,18,15,2112,1.34594,0,-4.80903,95,197.92,-4.59124,105,195.215,1
8272,1,Transportation,Transportation,1,0,2112,1.84914,0,4.28355,-98.1967,201.1,5,-100.1,200.434,3
8613,1,Transportation,Transportation,1,0,2112,2.78765,0,95,4.08326,195.76,105,4.51307,193.735,0
8783,1,Transportation,Transportation,6,4,22,0.510999,0,5,95.245,192.243,2.77991,102.729,191.1,1
8877,1,Transportation,neutronInelastic,1,0,2112,7.15423,0,-95,4.43828,196.986,-98.9034,4.81237,195.922,2
8877,0,NA,Transportation,16,1,22,0.36763,0,-98.9034,4.81237,195.922,-105,2.8527,193.162,2
8877,0,NA,Transportation,15,1,22,0.36763,0,-98.9034,4.81237,195.922,-98.3197,5,196.187,2
8877,0,NA,ionIoni,14,1,1000070160,0.556418,0.556418,-98.9034,4.81237,195.922,-98.9037,4.81211,195.924,2
8877,0,NA,Transportation,13,1,22,0.288341,0,-98.9034,4.81237,195.922,-101.819,0.00304124,201.1,2
8877,0,NA,ionIoni,12,1,1000020040,4.05055,4.05055,-98.9034,4.81237,195.922,-98.9095,4.81553,195.91,2
9334,1,Transportation,Transportation,16,1,22,0.78278,0,1.72347,-95,196.48,-1.14931,-105,196.156,3
9518,1,Transportation,Transportation,1,0,2112,5.48225,0,-95,-2.78489,200.025,-105,-3.07804,198.449,2
9911,1,Transportation,Transportation,1,0,2112,4.71689,0,-5,-103.917,191.612,-4.90416,-105,191.437,3
10160,1,Transportation,Transportation,2,1,2112,1.40735,0,95,-4.83638,193.444,96.2942,-5,193.413,0
10283,1,Transportation,Transportation,2,0,22,4.44,0,-3.73999,-95,200.856,-4.13367,-105,199.367,3
10482,1,Transportation,Transportation,1,0,2112,6.7367,0,-95,-0.859356,194.152,-105,-0.949815,191.957,2
10550,1,Transportation,hadElastic,1,0,2112,3.21446,0,-3.42598,-95,195.106,-3.58417,-99.3866,194.188,3
10550,0,hadElastic,Transportation,1,0,2112,2.61717,0,-3.58417,-99.3866,194.188,-1.9883,-95,194.182,3
10550,0,NA,ionIoni,5,1,1000090190,0.597436,0.597436,-3.58417,-99.3866,194.188,-3.58436,-99.3877,194.188,3
10698,1,Transportation,Transportation,1,0,2112,3.7475,0,-95,4.8978,200.868,-96.9823,5,200.573,2
10809,1,Transportation,Transportation,1,0,2112,6.17918,0,95,-4.02344,191.139,95.157,-4.03009,191.1,0
